Agency No.,Agency Name,Agency Address,Agency City,Agency Zip Code,Agency Phone No.,Agency E-mail,Agency Contact,Date,Frequency,Day of Week,Morning Opening Hour,Morning Closing Hour,Afternoon Opening Hour,Afternoon Closing Hour,Comments
5,Altadena S.D.A. Church,2609 N. Lincoln Avenue,Altadena,91001,626.794.3953,asdac@sbcglobal.net,Inell Carr,,2nd & 4th,Tuesday,9:00:00 AM,,,12:00:00 PM,
9,Catholic Charities- Region 2,4171 Tyler Avenue,El Monte,91731,626.575.7652,eguzman@ccharities.org,Elena Guzman,,,Monday,9:00:00 AM,,,1:00:00 PM,
9,Catholic Charities- Region 2,4171 Tyler Avenue,El Monte,91731,626.575.7652,eguzman@ccharities.org,Elena Guzman,,,Tuesday,9:00:00 AM,,,1:00:00 PM,
9,Catholic Charities- Region 2,4171 Tyler Avenue,El Monte,91731,626.575.7652,eguzman@ccharities.org,Elena Guzman,,,Wednesday,9:00:00 AM,,,1:00:00 PM,
9,Catholic Charities- Region 2,4171 Tyler Avenue,El Monte,91731,626.575.7652,eguzman@ccharities.org,Elena Guzman,,,Thursday,9:00:00 AM,,,1:00:00 PM,
9,Catholic Charities- Region 2,4171 Tyler Avenue,El Monte,91731,626.575.7652,eguzman@ccharities.org,Elena Guzman,,,Friday,9:00:00 AM,,,1:00:00 PM,
15,Ephesus S.D.A. Church,7005 S. Western Avenue,Los Angeles,90047,323.759.3993,cyntutsey@gmail.com,Cynthia Utsey,12/7/2015,,Monday,10:00:00 AM,11:30:00 AM,,,
40,Eastmont Community Center,701 Hoefner Avenue,Los Angeles,90022,323.726.7998,Eastmontcenter1@aol.com,Herlinda Ponder,,,Monday,9:00:00 AM,11:00:00 AM,,,
40,Eastmont Community Center,701 Hoefner Avenue,Los Angeles,90022,323.726.7998,Eastmontcenter1@aol.com,Herlinda Ponder,,,Tuesday,9:00:00 AM,11:00:00 AM,,,
40,Eastmont Community Center,701 Hoefner Avenue,Los Angeles,90022,323.726.7998,Eastmontcenter1@aol.com,Herlinda Ponder,,,Wednesday,9:00:00 AM,11:00:00 AM,,,
40,Eastmont Community Center,701 Hoefner Avenue,Los Angeles,90022,323.726.7998,Eastmontcenter1@aol.com,Herlinda Ponder,,,Thursday,9:00:00 AM,11:00:00 AM,,,
